area_id,num_transactions,male,female,population
E09000001,842113,3697,2990,6687
E09000002,4649347,99442,103659,203101
E09000003,58025525,186357,192421,378778
E09000004,2867212,116814,125573,242387
E09000005,26303807,163939,159504,323443
E09000006,4850975,156274,169029,325303
E09000007,8242186,121808,122029,243837
E09000008,6479553,184305,195765,380070
E09000009,15534369,172747,171538,344285
E09000010,49916158,159756,168982,328738
E09000011,20076343,137569,136973,274542
E09000012,22453809,133429,135197,268626
E09000013,20534866,89454,92729,182183
E09000014,27513713,134472,133779,268251
E09000015,30302784,122713,124105,246818
E09000016,2746294,119743,129632,249375
E09000017,12991039,147929,148127,296056
E09000018,2677909,134797,131615,266412
E09000019,13897938,113683,113824,227507
E09000020,13659812,78878,79711,158589
E09000021,858899,84301,87308,171609
E09000022,33399023,160869,159867,320736
E09000023,29986860,144943,150056,294999
E09000024,6431064,101313,104652,205965
E09000025,30147202,176602,159652,336254
E09000026,13560498,148700,149228,297928
E09000027,2766978,94288,99836,194124
E09000028,40562818,153470,154964,308434
E09000029,1304548,97427,102443,199870
E09000030,27358813,152762,141066,293828
E09000031,46309951,135651,135020,270671
E09000032,11880748,154118,165359,319477
E09000033,14078449,123356,114691,238047
